Total Primary Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.M
17:47:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TETCBUS.M Trillion Btu
Mar 2007,8560.962
Feb 2007,8756.146
Jan 2007,9224.099
Dec 2006,8799.524
Nov 2006,8034.39
Oct 2006,8025.711
Sep 2006,7791.252
Aug 2006,8737.089
Jul 2006,8638.191
Jun 2006,8151.424
May 2006,7962.577
Apr 2006,7715.794
Mar 2006,8590.968
Feb 2006,8196.243
Jan 2006,8821.064
Dec 2005,9203.614
Nov 2005,7944.982
Oct 2005,7786.96
Sep 2005,7792.931
Aug 2005,8694.069
Jul 2005,8587.417
Jun 2005,8177.87
May 2005,7944.425
Apr 2005,7720.125
Mar 2005,8732.272
Feb 2005,8289.366
Jan 2005,9293.633
Dec 2004,9161.792
Nov 2004,8056.203
Oct 2004,7954.67
Sep 2004,7836.495
Aug 2004,8360.387
Jul 2004,8411.707
Jun 2004,7987.726
May 2004,7972.415
Apr 2004,7798.772
Mar 2004,8436.524
Feb 2004,8739.588
Jan 2004,9356.761
Dec 2003,8931.788
Nov 2003,7840.971
Oct 2003,7787.892
Sep 2003,7611.482
Aug 2003,8396.654
Jul 2003,8276.555
Jun 2003,7646.582
May 2003,7668.133
Apr 2003,7672.871
Mar 2003,8388.085
Feb 2003,8436.902
Jan 2003,9240.026
Dec 2002,8838.275
Nov 2002,8019.291
Oct 2002,7807.859
Sep 2002,7666.385
Aug 2002,8351.015
Jul 2002,8431.411
Jun 2002,7895.25
May 2002,7805.742
Apr 2002,7763.628
Mar 2002,8366.013
Feb 2002,7862.335
Jan 2002,8797.524
Dec 2001,8265.421
Nov 2001,7550.214
Oct 2001,7723.42
Sep 2001,7406.407
Aug 2001,8309.177
Jul 2001,8149.902
Jun 2001,7657.916
May 2001,7634.33
Apr 2001,7644.096
Mar 2001,8478.752
Feb 2001,8076.539
Jan 2001,9232.643
Dec 2000,9202.865
Nov 2000,7945.917
Oct 2000,7766.954
Sep 2000,7698.591
Aug 2000,8548.824
Jul 2000,8236.269
Jun 2000,8008.679
May 2000,8031.61
Apr 2000,7675.241
Mar 2000,8299.973
Feb 2000,8408.733
Jan 2000,8952.552
Dec 1999,8677.385
Nov 1999,7639.148
Oct 1999,7719.808
Sep 1999,7616.185
Aug 1999,8382.839
Jul 1999,8374.699
Jun 1999,7809.606
May 1999,7627.869
Apr 1999,7661.381
Mar 1999,8374.956
Feb 1999,7813.917
Jan 1999,8916.761
Dec 1998,8473.946
Nov 1998,7511.035
Oct 1998,7613.624
Sep 1998,7619.267
Aug 1998,8230.509
Jul 1998,8280.961
Jun 1998,7719.457
May 1998,7579.487
Apr 1998,7515.048
Mar 1998,8174.686
Feb 1998,7650.204
Jan 1998,8613.349
Dec 1997,8612.464
Nov 1997,7754.95
Oct 1997,7682.068
Sep 1997,7417.608
Aug 1997,7914.987
Jul 1997,8096.186
Jun 1997,7470.765
May 1997,7481.764
Apr 1997,7528.444
Mar 1997,7990.105
Feb 1997,7792.359
Jan 1997,8829.387
Dec 1996,8411.304
Nov 1996,7801.33
Oct 1996,7622.8
Sep 1996,7151.97
Aug 1996,7874.803
Jul 1996,7763.058
Jun 1996,7450.954
May 1996,7467.868
Apr 1996,7367.168
Mar 1996,8197.535
Feb 1996,8109.506
Jan 1996,8781.981
Dec 1995,8415.663
Nov 1995,7577.392
Oct 1995,7229.695
Sep 1995,7140.889
Aug 1995,7922.336
Jul 1995,7630.432
Jun 1995,7235.883
May 1995,7155.399
Apr 1995,7110.691
Mar 1995,7746
Feb 1995,7600.222
Jan 1995,8226.193
Dec 1994,8008.857
Nov 1994,7152.79
Oct 1994,7075.223
Sep 1994,6886.16
Aug 1994,7477.23
Jul 1994,7395.024
Jun 1994,7166.432
May 1994,6890.507
Apr 1994,6983.321
Mar 1994,7668.421
Feb 1994,7746.401
Jan 1994,8589.797
Dec 1993,8022.313
Nov 1993,7285.727
Oct 1993,6988.178
Sep 1993,6819.004
Aug 1993,7337.386
Jul 1993,7313.062
Jun 1993,6847.311
May 1993,6650.483
Apr 1993,6907.476
Mar 1993,7816.592
Feb 1993,7424.598
Jan 1993,7912.456
Dec 1992,8049.21
Nov 1992,7083.547
Oct 1992,6906.882
Sep 1992,6686.894
Aug 1992,7033.411
Jul 1992,7164.272
Jun 1992,6719.321
May 1992,6702.403
Apr 1992,6845.997
Mar 1992,7353.583
Feb 1992,7247.705
Jan 1992,7988.956
Dec 1991,7688.591
Nov 1991,7011.114
Oct 1991,6862.825
Sep 1991,6662.225
Aug 1991,7117.701
Jul 1991,7102.868
Jun 1991,6702.509
May 1991,6659.213
Apr 1991,6540.723
Mar 1991,7144.066
Feb 1991,6866.738
Jan 1991,8078.661
Dec 1990,7546.645
Nov 1990,6776.438
Oct 1990,6812.414
Sep 1990,6618.049
Aug 1990,7283.532
Jul 1990,7036.447
Jun 1990,6759.777
May 1990,6750.376
Apr 1990,6771.439
Mar 1990,7309.418
Feb 1990,7007.056
Jan 1990,7812.967
Dec 1989,8248.724
Nov 1989,6943.56
Oct 1989,6794.031
Sep 1989,6484.541
Aug 1989,7031.494
Jul 1989,6859.659
Jun 1989,6697.346
May 1989,6639.14
Apr 1989,6664.216
Mar 1989,7545.703
Feb 1989,7233.498
Jan 1989,7643.419
Dec 1988,7544.911
Nov 1988,6708.19
Oct 1988,6591.078
Sep 1988,6344.903
Aug 1988,6992.534
Jul 1988,6750.241
Jun 1988,6511.855
May 1988,6394.683
Apr 1988,6453.888
Mar 1988,7300.926
Feb 1988,7311.849
Jan 1988,7804.136
Dec 1987,7281.541
Nov 1987,6346.123
Oct 1987,6366.409
Sep 1987,6127.542
Aug 1987,6518.294
Jul 1987,6630.484
Jun 1987,6283.858
May 1987,6203.087
Apr 1987,6317.775
Mar 1987,6770.707
Feb 1987,6732.162
Jan 1987,7476.45
Dec 1986,7031.035
Nov 1986,6122.967
Oct 1986,6043.899
Sep 1986,5822.464
Aug 1986,6227.713
Jul 1986,6358.024
Jun 1986,6019.767
May 1986,6103.287
Apr 1986,6113.781
Mar 1986,6780.17
Feb 1986,6624.247
Jan 1986,7399.658
Dec 1985,7224.067
Nov 1985,6063.41
Oct 1985,6031.312
Sep 1985,5763.682
Aug 1985,6262.2
Jul 1985,6191.778
Jun 1985,5885.315
May 1985,6010.09
Apr 1985,6110.942
Mar 1985,6582.706
Feb 1985,6884.675
Jan 1985,7382.202
Dec 1984,6671.81
Nov 1984,6104.652
Oct 1984,5965.862
Sep 1984,5766.025
Aug 1984,6328.067
Jul 1984,6160.819
Jun 1984,6031.41
May 1984,6176.19
Apr 1984,6275.386
Mar 1984,6863.942
Feb 1984,6628.326
Jan 1984,7659.216
Dec 1983,6868.125
Nov 1983,5940.081
Oct 1983,5705.57
Sep 1983,5704.341
Aug 1983,6133.137
Jul 1983,5946.682
Jun 1983,5682.518
May 1983,5697.525
Apr 1983,5873.836
Mar 1983,6436.333
Feb 1983,6069.952
Jan 1983,6912.467
Dec 1982,6463.441
Nov 1982,5983.05
Oct 1982,5730.544
Sep 1982,5553.562
Aug 1982,5822.744
Jul 1982,5840.514
Jun 1982,5577.011
May 1982,5607.074
Apr 1982,6044.908
Mar 1982,6548.462
Feb 1982,6475.473
Jan 1982,7452.645
Dec 1981,7092.463
Nov 1981,6142.499
Oct 1981,6147.633
Sep 1981,5824.826
Aug 1981,6116.564
Jul 1981,6212.381
Jun 1981,5999.608
May 1981,5943.749
Apr 1981,5879.369
Mar 1981,6610.567
Feb 1981,6488.579
Jan 1981,7643.376
Dec 1980,7367.613
Nov 1980,6424.042
Oct 1980,6320.64
Sep 1980,5974.226
Aug 1980,6066.541
Jul 1980,6138.724
Jun 1980,5875.872
May 1980,6011.371
Apr 1980,6162.598
Mar 1980,7025.383
Feb 1980,7127.106
Jan 1980,7569.338
Dec 1979,7341.604
Nov 1979,6682.793
Oct 1979,6546.994
Sep 1979,6056.294
Aug 1979,6496.817
Jul 1979,6280.572
Jun 1979,6146.792
May 1979,6351.355
Apr 1979,6291.051
Mar 1979,7155.015
Feb 1979,7413.492
Jan 1979,8096.05
Dec 1978,7479.492
Nov 1978,6689.161
Oct 1978,6428.593
Sep 1978,6091.208
Aug 1978,6499.555
Jul 1978,6343.727
Jun 1978,6152.956
May 1978,6341.706
Apr 1978,6173.557
Mar 1978,6969.369
Feb 1978,7055.634
Jan 1978,7724.961
Dec 1977,7445.772
Nov 1977,6488.691
Oct 1977,6276.021
Sep 1977,6083.524
Aug 1977,6304.07
Jul 1977,6199.376
Jun 1977,6089.198
May 1977,6000.884
Apr 1977,5983.088
Mar 1977,6577.61
Feb 1977,6657.899
Jan 1977,7855.623
Dec 1976,7661.524
Nov 1976,6732.906
Oct 1976,6247.77
Sep 1976,5742.648
Aug 1976,5973.736
Jul 1976,6027.641
Jun 1976,5827.441
May 1976,5796.389
Apr 1976,5858.227
Mar 1976,6394.82
Feb 1976,6396.086
Jan 1976,7315.131
Dec 1975,6929.591
Nov 1975,5853.242
Oct 1975,5911.74
Sep 1975,5501.291
Aug 1975,5747.213
Jul 1975,5671.861
Jun 1975,5438.115
May 1975,5494.457
Apr 1975,5800.645
Mar 1975,6386.257
Feb 1975,6171.542
Jan 1975,7059.014
Dec 1974,6845.56
Nov 1974,6238.457
Oct 1974,6184.96
Sep 1974,5713.814
Aug 1974,6018.263
Jul 1974,5988.038
Jun 1974,5644.753
May 1974,5867.145
Apr 1974,5863.745
Mar 1974,6373.851
Feb 1974,6316.938
Jan 1974,6906.707
Dec 1973,6889.701
Nov 1973,6521.876
Oct 1973,6177.455
Sep 1973,5776.048
Aug 1973,6194.365
Jul 1973,5954.498
Jun 1973,5805.318
May 1973,6074.551
Apr 1973,5944.336
Mar 1973,6524.198
Feb 1973,6594.709
Jan 1973,7226.265
